OrganisationID,OrganisationCode,OrganisationType,SubType,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax
240,V09574,Dentists,UNKNOWN,Visible,TRUE,Barnfield Dental Studio,,10a Barnfield Hill,,Exeter,Devon,EX1 1SR,50.72340012,-3.520382881,Q66,Devon,,,,
2947,V05768,Dentists,UNKNOWN,Visible,TRUE,Ottery St Mary Dental Practice,Dental Surgery,Yonder Close,,Ottery St Mary,Devon,EX11 1HE,50.75097656,-3.275778532,Q66,Devon,,,,
4478,V05754,Dentists,UNKNOWN,Visible,TRUE,Budleigh Salterton Dental Practice,,11 Station Road,,Budleigh Salterton,Devon,EX9 6RW,50.63217545,-3.328355551,Q66,Devon,,,,
6123,V04428,Dentists,UNKNOWN,Visible,TRUE,Ingrid Cubbon Dental Surgery,13 Dendy Road,13 Dendy Road,,Paignton,Devon,TQ4 5DB,50.43624115,-3.566419125,Q66,Devon,,,,
6152,V08318,Dentists,UNKNOWN,Visible,TRUE,Central Park Dental Practice Ltd,Central Park Dental Practice Ltd,15 Milehouse Road,,Plymouth,Devon,PL3 4AD,50.38476181,-4.158601761,Q66,Devon,,,,
6163,V05252,Dentists,UNKNOWN,Visible,TRUE,Castle Hill Dental Practice,Castle Hill Dental Practice,Castle Hill Gardens,,Great Torrington,Devon,EX38 8EL,50.95200348,-4.140162945,Q66,Devon,,,,
6448,V11345,Dentists,UNKNOWN,Visible,TRUE,ADP Tavistock,Tavistock Dental Practice,Kilworthy Park,,Tavistock,Devon,PL19 0FZ,50.55257416,-4.143290997,Q66,Devon,,,,
8912,V06591,Dentists,UNKNOWN,Visible,TRUE,Clark House Dental Surgery,14 Lockyer Street,The Hoe,,Plymouth,Devon,PL1 2QJ,50.36792755,-4.143915653,Q66,Devon,,,,
8913,V06536,Dentists,UNKNOWN,Visible,TRUE,Larkham House Dental Surgery,Larkham House Dental Practice,49 Larkham Lane,Plympton,Plymouth,Devon,PL7 4PH,50.3935318,-4.069599628,Q66,Devon,,,,
8916,V06563,Dentists,UNKNOWN,Visible,TRUE,Milehouse Dental Care,42 Milehouse Road,Milehouse,,Plymouth,Devon,PL3 4DA,50.38433456,-4.160931587,Q66,Devon,,,,
