Period,Electricity Cost (£),Electricity Consumption (kwh),Gas Cost (£),Gas Consumption (kwh),date
Jan-21,197.46,1167.098901,100.81,3425.561319,13/01/2021
Feb-21,178.35,1054.153846,91.06,3094.055385,13/02/2021
Mar-21,118.81,664.4264242,119.66,3968.318176,13/03/2021
Apr-21,167.3,907.9310345,69.62,2156.289655,13/04/2021
May-21,172.87,938.1954023,71.94,2228.165977,13/05/2021
Jun-21,152.51,817.9724138,38.17,1175.101862,13/06/2021
Jul-21,147.4,783.2666667,17.78,538.3425556,13/07/2021
Aug-21,147.4,783.2666667,17.78,538.3425556,13/08/2021
Sep-21,172.62,869.3333333,53.97,1416.563333,13/09/2021
Oct-21,193.86,955.8333333,74.76,1926.501889,13/10/2021
Nov-21,187.61,925,72.35,1864.356667,13/11/2021
Dec-21,216.07,1054.027473,116.76,2937.676231,13/12/2021
Jan-22,225.17,1094.197802,133.95,3351.338462,13/01/2022
Feb-22,203.38,988.3076923,120.99,3027.015385,13/02/2022
Mar-22,142.66,563.220045,103.17,2026.729694,13/03/2022
Apr-22,100.05,300.3614458,85.66,1350.93253,13/04/2022
May-22,103.38,310.373494,88.51,1395.963614,13/05/2022
Jun-22,167.13,615.4676037,35.9,509.0729732,13/06/2022
Jul-22,175.1,647.2111111,35.32,496.0447778,13/07/2022
Aug-22,176.97,650.7222222,38.05,522.25,13/08/2022
Sep-22,225.47,731.6666667,115.96,1266.2,13/09/2022
Oct-22,232.99,756.0555556,119.82,1308.406667,13/10/2022
Nov-22,232.21,751.5181024,125.02,1348.411161,13/11/2022
Dec-22,337.46,1063.752809,260.26,2582.679663,13/12/2022
Jan-23,337.46,1063.752809,260.26,2582.679663,13/01/2023
Feb-23,272.14,857.8651685,209.89,2082.80618,13/02/2023
